city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms
Manhattan,"The Surrey, New York",HOTEL,581,5,256,9,1,3
Manhattan,"Gramercy Park Hotel, New York",HOTEL,408,5,339,8.6,1,3
Manhattan,"Hotel Pennsylvania, New York",HOTEL,99,2.5,6818,4.8,1,3
Manhattan,"DoubleTree by Hilton New York City - Financial District, New York",HOTEL,152,4,1071,7.6,1,3
Manhattan,"Residence Inn Marriott New York Downtown Manhattan/WTC Area, New York",HOTEL,148,3.5,623,9,1,3
Manhattan,"The Sherry Netherland, New York",HOTEL,459,4.5,163,9.6,1,3
Manhattan,"The Franklin Hotel, New York",HOTEL,207,3.5,544,6.8,1,3
Manhattan,"Orchard Street Hotel, New York",HOTEL,125,3,277,7.8,1,3
Manhattan,"Staybridge Suites Times Square, New York",HOTEL,125,3.5,1692,8.4,1,3
Manhattan,"Fairfield Inn & Suites New York Manhattan/Downtown East, New York",HOTEL,119,2.5,237,8.6,1,3
Manhattan,"City Club Hotel, New York",HOTEL,129,4,865,8.6,1,3
Manhattan,"Best Western Plus Hospitality House, New York",HOTEL,150,2.5,212,8.8,1,3
Manhattan,"Holiday Inn Express New York City- Wall Street, New York",HOTEL,96,3,423,8.2,1,3
Manhattan,"W New York - Union Square, New York",HOTEL,314,4.5,234,8.6,1,3
Manhattan,"Four Seasons Hotel New York Downtown, New York",HOTEL,555,5,171,9.6,1,3
Manhattan,"Dylan Hotel NYC, New York",HOTEL,170,4,549,7.6,1,3
Manhattan,"The William, New York",HOTEL,179,4,18,9.2,1,3
Manhattan,"Refinery Hotel, New York",HOTEL,179,5,852,9.2,1,3
Manhattan,"The Chatwal, a Luxury Collection Hotel, New York City, New York",HOTEL,525,5,127,9.2,1,3
Manhattan,"Courtyard by Marriott New York Manhattan / Chelsea, New York",HOTEL,127,3.5,558,9,1,3
Manhattan,"Pod 39, New York",HOTEL,119,3,3393,8.4,1,3
Manhattan,"Incentra Village Hotel, New York",HOTEL,188,3,73,8.2,1,3
Manhattan,"Hotel 48LEX New York, New York",HOTEL,187,4.5,480,8.4,1,3
Manhattan,"The Peninsula New York, New York",HOTEL,745,5,568,9.4,1,3
Manhattan,"GEM Hotel - Chelsea, New York",HOTEL,134,3,266,7.8,1,3
Manhattan,"Holiday Inn Express Manhattan Times Square South, New York",HOTEL,126,3,609,8.4,1,3
Manhattan,"Cambria Hotel New York - Times Square, New York",HOTEL,118,3,1023,9,1,3
Manhattan,"Chambers Hotel, New York",HOTEL,251,4,280,8.8,1,3
Manhattan,"NoMo SoHo, New York",HOTEL,148,4.5,885,8.4,1,3
Manhattan,"The Pierre, A Taj Hotel, New York, New York",HOTEL,595,5,267,9.4,1,3
Manhattan,"Hampton Inn New York - 35th Street - Empire State Building, New York",HOTEL,99,3,963,8.6,1,3
Manhattan,"Hampton Inn Manhattan-Seaport-Financial District, New York",HOTEL,134,3,315,8.2,1,3
Manhattan,"The Manhattan at Times Square Hotel, New York",HOTEL,94,4,4077,6.2,1,3
Manhattan,"Renaissance New York Hotel 57, New York",HOTEL,146,4,739,8.2,1,3
Manhattan,"Soho Garden Hotel, New York",HOTEL,199,2.5,556,7.8,1,3
Manhattan,"1 Hotel Central Park, New York",HOTEL,289,5,619,9.2,1,3
Manhattan,"SIXTY SoHo, New York",HOTEL,195,4.5,200,9.2,1,3
Manhattan,"The Beekman, A Thompson Hotel, New York",HOTEL,329,5,455,9.4,1,3
Manhattan,"InterContinental - New York Times Square, New York",HOTEL,201,5,1189,8.4,1,3
Manhattan,"Hilton Garden Inn New York/West 35th Street, New York",HOTEL,98,3,1406,8.8,1,3
Manhattan,"11 Howard, New York",HOTEL,219,5,375,8.6,1,3
Manhattan,"Holiday Inn Express New York - Manhattan West Side, New York",HOTEL,105,3,641,8.2,1,3
Manhattan,"Walker Hotel Greenwich Village, New York",HOTEL,235,4.5,266,8.8,1,3
Manhattan,"Seton Hotel, New York",HOTEL,100,3,777,8.2,1,3
Manhattan,"Windsor Hotel, New York",HOTEL,136,2,289,5.4,1,3
Manhattan,"Best Western Premier Herald Square, New York",HOTEL,110,3,1170,8.8,1,3
Manhattan,"The Surrey, New York",HOTEL,581,5,256,9,1,3
Manhattan,"The Watson Hotel, New York",HOTEL,94,3.5,4095,7.8,1,3
Manhattan,"The Benjamin, New York",HOTEL,199,4.5,421,8.8,1,3
Manhattan,"Holiday Inn Express New York City Times Square, New York",HOTEL,110,3,778,7.8,1,3
Manhattan,"Cassa Hotel NY 45th Street, New York",HOTEL,180,4,1270,8.8,1,3
Manhattan,"New York Marriott East Side, New York",HOTEL,206,4,852,8.2,1,3
Manhattan,"The Kimberly Hotel, New York",HOTEL,218,4,1516,9.4,1,3
Manhattan,"The Lex NYC, New York",HOTEL,149,3.5,398,8.8,1,3
Manhattan,"The Mark, New York",HOTEL,695,5,197,9.6,1,3
Manhattan,"Hampton Inn Manhattan-Chelsea, New York",HOTEL,101,3,815,8.6,1,3
Manhattan,"Edge Hotel, New York",HOTEL,209,3.5,294,8.8,1,3
Manhattan,"Green Holidays Apartments, New York",HOTEL,94,3.5,37,6.2,1,3
Manhattan,"Stewart Hotel, New York",HOTEL,116,4,2935,7.6,1,3
Manhattan,"Fifty Hotel & Suites by Affinia, New York",HOTEL,125,4,808,8.4,1,3
Manhattan,"Candlewood Suites New York City-Times Square, New York",HOTEL,115,3,459,8.2,1,3
Manhattan,"Shelburne Hotel & Suites by Affinia, New York",HOTEL,174,4,1934,8.2,1,3
Manhattan,"Hilton New York Fashion District, New York",HOTEL,107,4,826,8.6,1,3
Manhattan,"Arlo SoHo, New York",HOTEL,144,4,1169,8.8,1,3
Manhattan,"Hampton Inn Madison Square Garden Area Hotel, New York",HOTEL,110,3,781,8.6,1,3
Manhattan,"Duane Street Hotel Tribeca, New York",HOTEL,139,4,221,8.6,1,3
