city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,lat_long
Manhattan,"The Plaza Hotel, New York",HOTEL,$797 ,5-star,,8.8,"1 room, 3 adults","['40.764238', '-73.973881']"
Manhattan,"The Surrey, New York",HOTEL,$581 ,5-star,See all 256 Hotels.com reviews,9,"1 room, 3 adults","['40.774487', '-73.963871']"
Manhattan,"East Village Townhouse, New York",HOTEL,,4-star,,Fabulous8.8,"1 room, 3 adults","['40.727216', '-73.988123']"
Manhattan,"Gramercy Park Hotel, New York",HOTEL,$408 ,5-star,See all 339 Hotels.com reviews,8.6,"1 room, 3 adults","['40.738481', '-73.985496']"
Manhattan,"Hotel Pennsylvania, New York",HOTEL,$99 ,2.5-star,"See all 6,818 Hotels.com reviews",4.8,"1 room, 3 adults","['40.749955', '-73.99137']"
Manhattan,"Night Hotel Times Square, New York",HOTEL,$99 ,4-star,,7,"1 room, 3 adults","['40.758975', '-73.984045']"
Manhattan,"The Milburn Hotel, New York",HOTEL,,3-star,See all 419 Hotels.com reviews,8.6,"1 room, 3 adults","['40.782037', '-73.981731']"
Manhattan,"104 Forsyth St. - Apt #5 - 2 Br Apts, New York",HOTEL,$338 ,3.5-star,,Fabulous8.8,"1 room, 3 adults","['40.7184', '-73.9927']"
Manhattan,"DoubleTree by Hilton New York City - Financial District, New York",HOTEL,$152 ,4-star,"See all 1,071 Hotels.com reviews",7.6,"1 room, 3 adults","['40.70402', '-74.01242']"
Manhattan,"Residence Inn Marriott New York Downtown Manhattan/WTC Area, New York",HOTEL,$148 ,3.5-star,See all 623 Hotels.com reviews,9,"1 room, 3 adults","['40.709657', '-74.010093']"
Manhattan,"The Sherry Netherland, New York",HOTEL,$459 ,4.5-star,See all 163 Hotels.com reviews,9.6,"1 room, 3 adults","['40.76453', '-73.97285']"
Manhattan,"The Franklin Hotel, New York",HOTEL,$207 ,3.5-star,See all 544 Hotels.com reviews,6.8,"1 room, 3 adults","['40.779886', '-73.954404']"
Manhattan,"Orchard Street Hotel, New York",HOTEL,$125 ,3-star,See all 277 Hotels.com reviews,7.8,"1 room, 3 adults","['40.721083', '-73.988709']"
Manhattan,"Northern Lights Mansion, New York",HOTEL,$198 ,3.5-star,,9,"1 room, 3 adults","['40.807343', '-73.950514']"
Manhattan,"Staybridge Suites Times Square, New York",HOTEL,$125 ,3.5-star,"See all 1,692 Hotels.com reviews",8.4,"1 room, 3 adults","['40.756731', '-73.992607']"
Manhattan,"Studio Plus, New York",HOTEL,,3-star,See all 106 Hotels.com reviews,6.8,"1 room, 3 adults","['40.747288', '-73.987753']"
Manhattan,"Fairfield Inn & Suites New York Manhattan/Downtown East, New York",HOTEL,$119 ,2.5-star,See all 237 Hotels.com reviews,8.6,"1 room, 3 adults","['40.713128', '-73.992859']"
Manhattan,"Beautiful Two Bedroom Manhattan Apartment, New York",HOTEL,,4-star,,Fabulous8.8,"1 room, 3 adults","['40.77837', '-73.94733']"
Manhattan,"City Club Hotel, New York",HOTEL,$129 ,4-star,See all 865 Hotels.com reviews,8.6,"1 room, 3 adults","['40.755772', '-73.982292']"
Manhattan,"Best Western Plus Hospitality House, New York",HOTEL,$150 ,2.5-star,See all 212 Hotels.com reviews,8.8,"1 room, 3 adults","['40.755593', '-73.972159']"
Manhattan,"Holiday Inn Express New York City- Wall Street, New York",HOTEL,$96 ,3-star,See all 423 Hotels.com reviews,8.2,"1 room, 3 adults","['40.705437', '-74.007122']"
Manhattan,"Four Points By Sheraton Manhattan Midtown West, New York",HOTEL,$109 ,3-star,,8.8,"1 room, 3 adults","['40.75506', '-73.99868']"
Manhattan,"Pod Times Square, New York",HOTEL,$104 ,3-star,,8.8,"1 room, 3 adults","['40.758563', '-73.992993']"
Manhattan,"Wall Street Apartment, New York",HOTEL,,3-star,,Fabulous8.8,"1 room, 3 adults","['40.704946', '-74.007531']"
Manhattan,"The Gatsby Hotel, New York",HOTEL,$134 ,3.5-star,,8,"1 room, 3 adults","['40.72312', '-73.99024']"
Manhattan,"Luxury Studio Suite w/ Free Continental Breakfast Studio Bedroom 1 Bathroom Apts, New York",HOTEL,,,,Fabulous8.8,"1 room, 3 adults","['40.753401', '-73.966174']"
Manhattan,"W New York - Union Square, New York",HOTEL,$314 ,4.5-star,See all 234 Hotels.com reviews,8.6,"1 room, 3 adults","['40.73653', '-73.98899']"
Manhattan,"Luxury Suites Lenox Ave , New York",HOTEL,,4-star,,Fabulous8.8,"1 room, 3 adults","['40.806222', '-73.946685']"
Manhattan,"Four Seasons Hotel New York Downtown, New York",HOTEL,$555 ,5-star,See all 171 Hotels.com reviews,9.6,"1 room, 3 adults","['40.712544', '-74.009306']"
Manhattan,"45th Street #226384 - 1 Br Condo, New York",HOTEL,,3.5-star,,Fabulous8.8,"1 room, 3 adults","['40.75269', '-73.97276']"
Manhattan,"Dylan Hotel NYC, New York",HOTEL,$170 ,4-star,See all 549 Hotels.com reviews,7.6,"1 room, 3 adults","['40.75193', '-73.97926']"
Manhattan,"The William, New York",HOTEL,$179 ,4-star,See all 18 Hotels.com reviews,9.2,"1 room, 3 adults","['40.75057', '-73.98019']"
Manhattan,"Luxury Suites Upper West Brownstone, New York",HOTEL,,4-star,,Fabulous8.8,"1 room, 3 adults","['40.818223', '-73.942784']"
Manhattan,"Heritage Hotel, New York",HOTEL,$118 ,2.5-star,,7.4,"1 room, 3 adults","['40.743375', '-73.989991']"
Manhattan,"Refinery Hotel, New York",HOTEL,$179 ,5-star,See all 852 Hotels.com reviews,9.2,"1 room, 3 adults","['40.752109', '-73.985461']"
Manhattan,"The Chatwal, a Luxury Collection Hotel, New York City, New York",HOTEL,$525 ,5-star,See all 127 Hotels.com reviews,9.2,"1 room, 3 adults","['40.7565', '-73.98458']"
Manhattan,"Courtyard by Marriott New York Manhattan / Chelsea, New York",HOTEL,$127 ,3.5-star,See all 558 Hotels.com reviews,9,"1 room, 3 adults","['40.74803', '-73.9914']"
Manhattan,"Pod 39, New York",HOTEL,$119 ,3-star,"See all 3,393 Hotels.com reviews",8.4,"1 room, 3 adults","['40.749285', '-73.976698']"
Manhattan,"Incentra Village Hotel, New York",HOTEL,$188 ,3-star,See all 73 Hotels.com reviews,8.2,"1 room, 3 adults","['40.738', '-74.004299']"
Manhattan,"Renovated 2 BR Central Park, New York",HOTEL,$249 ,3.5-star,,5.2,"1 room, 3 adults","['40.764721', '-73.988061']"
Manhattan,"Hotel 48LEX New York, New York",HOTEL,$187 ,4.5-star,See all 480 Hotels.com reviews,8.4,"1 room, 3 adults","['40.75525', '-73.9732']"
Manhattan,"The Peninsula New York, New York",HOTEL,$745 ,5-star,See all 568 Hotels.com reviews,9.4,"1 room, 3 adults","['40.76165', '-73.9749']"
Manhattan,"GEM Hotel - Chelsea, New York",HOTEL,$134 ,3-star,See all 266 Hotels.com reviews,7.8,"1 room, 3 adults","['40.7447', '-73.9991']"
Manhattan,"Holiday Inn Express Manhattan Times Square South, New York",HOTEL,$126 ,3-star,See all 609 Hotels.com reviews,8.4,"1 room, 3 adults","['40.751079', '-73.98685']"
Manhattan,"Chelsea Mews Guest House All Male, New York",HOTEL,,2.5-star,,4.8,"1 room, 3 adults","['40.74103', '-74.00379']"
Manhattan,"Cambria Hotel New York - Times Square, New York",HOTEL,$118 ,3-star,"See all 1,023 Hotels.com reviews",9,"1 room, 3 adults","['40.756682', '-73.98049']"
Manhattan,"Chambers Hotel, New York",HOTEL,$251 ,4-star,See all 280 Hotels.com reviews,8.8,"1 room, 3 adults","['40.76249', '-73.9749']"
Manhattan,"Rostel- Hostel, New York",HOTEL,,2.5-star,See all 9 Hotels.com reviews,5.6,"1 room, 3 adults","['40.79842', '-73.941141']"
Manhattan,"Hamilton Heights Lovely Apartments, New York",HOTEL,,3.5-star,,5.8,"1 room, 3 adults","['40.81982', '-73.95287']"
Manhattan,"NoMo SoHo, New York",HOTEL,$148 ,4.5-star,See all 885 Hotels.com reviews,8.4,"1 room, 3 adults","['40.719921', '-74.000304']"
Manhattan,"The Pierre, A Taj Hotel, New York, New York",HOTEL,$595 ,5-star,See all 267 Hotels.com reviews,9.4,"1 room, 3 adults","['40.765341', '-73.972221']"
Manhattan,"onefinestay - Upper West Side private homes, New York",HOTEL,,4.5-star,,Fabulous8.8,"1 room, 3 adults","['40.791474', '-73.974117']"
Manhattan,"Amazing Studio in the Heart of Manhattan, New York",HOTEL,,3.5-star,,6.8,"1 room, 3 adults","['40.768779', '-73.968182']"
Manhattan,"Midtown West Vacation Rentals, New York",HOTEL,,3-star,,5.6,"1 room, 3 adults","['40.754821', '-73.995251']"
Manhattan,"Hampton Inn New York - 35th Street - Empire State Building, New York",HOTEL,$99 ,3-star,See all 963 Hotels.com reviews,8.6,"1 room, 3 adults","['40.750129', '-73.986505']"
Manhattan,"Bryant Park Studio Apartment next to Times Square, New York",HOTEL,,3-star,See all 4 Hotels.com reviews,Fabulous8.8,"1 room, 3 adults","['40.752293', '-73.985893']"
Manhattan,"Hampton Inn Manhattan-Seaport-Financial District, New York",HOTEL,$134 ,3-star,See all 315 Hotels.com reviews,8.2,"1 room, 3 adults","['40.709012', '-74.002244']"
Manhattan,"Chelsea Studio DR05, New York",HOTEL,,3-star,,Fabulous8.8,"1 room, 3 adults","['40.743656', '-73.990662']"
Manhattan,"Midtown East 1 Bedroom DR08, New York",HOTEL,,3.5-star,,Fabulous8.8,"1 room, 3 adults","['40.75724', '-73.96824']"
Manhattan,"AKA United Nations, New York",HOTEL,,4-star,See all 4 Hotels.com reviews,Fabulous8.8,"1 room, 3 adults","['40.75266', '-73.97133']"
Manhattan,"The Manhattan at Times Square Hotel, New York",HOTEL,$94 ,4-star,"See all 4,077 Hotels.com reviews",6.2,"1 room, 3 adults","['40.762045', '-73.982587']"
Manhattan,"Renaissance New York Hotel 57, New York",HOTEL,$146 ,4-star,See all 739 Hotels.com reviews,8.2,"1 room, 3 adults","['40.761028', '-73.969514']"
Manhattan,"The Park Ave North, New York",HOTEL,$104 ,3-star,,7.8,"1 room, 3 adults","['40.807801', '-73.937651']"
Manhattan,"Soho Garden Hotel, New York",HOTEL,$199 ,2.5-star,See all 556 Hotels.com reviews,7.8,"1 room, 3 adults","['40.719179', '-74.001653']"
Manhattan,"Washington Heights Manhattan 3 BR, New York",HOTEL,,3-star,,Fabulous8.8,"1 room, 3 adults","['40.84696', '-73.93587']"
Manhattan,"Times Square Theater Dist. 2BR Gem, New York",HOTEL,,3-star,,Fabulous8.8,"1 room, 3 adults","['40.76322', '-73.99461']"
Manhattan,"1 Hotel Central Park, New York",HOTEL,$289 ,5-star,See all 619 Hotels.com reviews,9.2,"1 room, 3 adults","['40.764834', '-73.976847']"
Manhattan,"SIXTY SoHo, New York",HOTEL,$195 ,4.5-star,See all 200 Hotels.com reviews,9.2,"1 room, 3 adults","['40.724026', '-74.003338']"
Manhattan,"The Beekman, A Thompson Hotel, New York",HOTEL,$329 ,5-star,See all 455 Hotels.com reviews,9.4,"1 room, 3 adults","['40.711373', '-74.00669']"
Manhattan,"InterContinental - New York Times Square, New York",HOTEL,$201 ,5-star,"See all 1,189 Hotels.com reviews",8.4,"1 room, 3 adults","['40.758741', '-73.989322']"
Manhattan,"MySuites, New York",HOTEL,,4-star,See all 28 Hotels.com reviews,8,"1 room, 3 adults","['40.733406', '-74.004285']"
Manhattan,"Hilton Garden Inn New York/West 35th Street, New York",HOTEL,$98 ,3-star,"See all 1,406 Hotels.com reviews",8.8,"1 room, 3 adults","['40.750216', '-73.986721']"
Manhattan,"11 Howard, New York",HOTEL,$219 ,5-star,See all 375 Hotels.com reviews,8.6,"1 room, 3 adults","['40.719249', '-73.999993']"
Manhattan,"Walker Hotel Tribeca, New York",HOTEL,,,,Fabulous8.8,"1 room, 3 adults","['40.71826', '-74.00202']"
Manhattan,"138 Bowery, New York",HOTEL,$119 ,3-star,,Fabulous8.8,"1 room, 3 adults","['40.719138', '-73.994808']"
Manhattan,"Holiday Inn Express New York - Manhattan West Side, New York",HOTEL,$105 ,3-star,See all 641 Hotels.com reviews,8.2,"1 room, 3 adults","['40.764167', '-73.994468']"
Manhattan,"Walker Hotel Greenwich Village, New York",HOTEL,$235 ,4.5-star,See all 266 Hotels.com reviews,8.8,"1 room, 3 adults","['40.736297', '-73.996547']"
Manhattan,"Seton Hotel, New York",HOTEL,$100 ,3-star,See all 777 Hotels.com reviews,8.2,"1 room, 3 adults","['40.749761', '-73.976188']"
Manhattan,"Windsor Hotel, New York",HOTEL,$136 ,2-star,See all 289 Hotels.com reviews,5.4,"1 room, 3 adults","['40.71873', '-73.99269']"
Manhattan,"Best Western Premier Herald Square, New York",HOTEL,$110 ,3-star,"See all 1,170 Hotels.com reviews",8.8,"1 room, 3 adults","['40.750525', '-73.985563']"
Manhattan,"onefinestay - Soho private homes, New York",HOTEL,,4.5-star,,Fabulous8.8,"1 room, 3 adults","['40.721767', '-74.006395']"
Manhattan,"The Surrey, New York",HOTEL,$581 ,5-star,See all 256 Hotels.com reviews,9,"1 room, 3 adults","['40.774487', '-73.963871']"
