,city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms,no_of_guests
1,Manhattan,"The Surrey, New York",HOTEL,581,5.0,256,4.5,"1 room, 3 adults",1,3
3,Manhattan,"Gramercy Park Hotel, New York",HOTEL,408,5.0,33,4.3,"1 room, 3 adults",1,3
4,Manhattan,"Hotel Pennsylvania, New York",HOTEL,,2.5,6818,2.4,"1 room, 3 adults",1,3
8,Manhattan,"DoubleTree by Hilton New York City - Financial District, New York",HOTEL,152,4.0,1071,3.8,"1 room, 3 adults",1,3
9,Manhattan,"Residence Inn Marriott New York Downtown Manhattan/WTC Area, New York",HOTEL,148,3.5,623,4.5,"1 room, 3 adults",1,3
10,Manhattan,"The Sherry Netherland, New York",HOTEL,45,4.5,163,4.8,"1 room, 3 adults",1,3
11,Manhattan,"The Franklin Hotel, New York",HOTEL,207,3.5,544,3.4,"1 room, 3 adults",1,3
12,Manhattan,"Orchard Street Hotel, New York",HOTEL,125,3.0,277,3.9,"1 room, 3 adults",1,3
14,Manhattan,"Staybridge Suites Times Square, New York",HOTEL,125,3.5,162,4.2,"1 room, 3 adults",1,3
16,Manhattan,"Fairfield Inn & Suites New York Manhattan/Downtown East, New York",HOTEL,11,2.5,237,4.3,"1 room, 3 adults",1,3
18,Manhattan,"City Club Hotel, New York",HOTEL,12,4.0,865,4.3,"1 room, 3 adults",1,3
19,Manhattan,"Best Western Plus Hospitality House, New York",HOTEL,150,2.5,212,4.4,"1 room, 3 adults",1,3
20,Manhattan,"Holiday Inn Express New York City- Wall Street, New York",HOTEL,6,3.0,423,4.1,"1 room, 3 adults",1,3
26,Manhattan,"W New York - Union Square, New York",HOTEL,314,4.5,234,4.3,"1 room, 3 adults",1,3
28,Manhattan,"Four Seasons Hotel New York Downtown, New York",HOTEL,555,5.0,171,4.8,"1 room, 3 adults",1,3
30,Manhattan,"Dylan Hotel NYC, New York",HOTEL,170,4.0,54,3.8,"1 room, 3 adults",1,3
31,Manhattan,"The William, New York",HOTEL,17,4.0,18,4.6,"1 room, 3 adults",1,3
34,Manhattan,"Refinery Hotel, New York",HOTEL,17,5.0,852,4.6,"1 room, 3 adults",1,3
35,Manhattan,"The Chatwal, a Luxury Collection Hotel, New York City, New York",HOTEL,525,5.0,127,4.6,"1 room, 3 adults",1,3
36,Manhattan,"Courtyard by Marriott New York Manhattan / Chelsea, New York",HOTEL,127,3.5,558,4.5,"1 room, 3 adults",1,3
37,Manhattan,"Pod 39, New York",HOTEL,11,3.0,333,4.2,"1 room, 3 adults",1,3
38,Manhattan,"Incentra Village Hotel, New York",HOTEL,188,3.0,73,4.1,"1 room, 3 adults",1,3
40,Manhattan,"Hotel 48LEX New York, New York",HOTEL,187,4.5,480,4.2,"1 room, 3 adults",1,3
41,Manhattan,"The Peninsula New York, New York",HOTEL,745,5.0,568,4.7,"1 room, 3 adults",1,3
42,Manhattan,"GEM Hotel - Chelsea, New York",HOTEL,134,3.0,266,3.9,"1 room, 3 adults",1,3
43,Manhattan,"Holiday Inn Express Manhattan Times Square South, New York",HOTEL,126,3.0,60,4.2,"1 room, 3 adults",1,3
45,Manhattan,"Cambria Hotel New York - Times Square, New York",HOTEL,118,3.0,1023,4.5,"1 room, 3 adults",1,3
46,Manhattan,"Chambers Hotel, New York",HOTEL,251,4.0,280,4.4,"1 room, 3 adults",1,3
49,Manhattan,"NoMo SoHo, New York",HOTEL,148,4.5,885,4.2,"1 room, 3 adults",1,3
50,Manhattan,"The Pierre, A Taj Hotel, New York, New York",HOTEL,55,5.0,267,4.7,"1 room, 3 adults",1,3
54,Manhattan,"Hampton Inn New York - 35th Street - Empire State Building, New York",HOTEL,,3.0,63,4.3,"1 room, 3 adults",1,3
56,Manhattan,"Hampton Inn Manhattan-Seaport-Financial District, New York",HOTEL,134,3.0,315,4.1,"1 room, 3 adults",1,3
60,Manhattan,"The Manhattan at Times Square Hotel, New York",HOTEL,4,4.0,4077,3.1,"1 room, 3 adults",1,3
61,Manhattan,"Renaissance New York Hotel 57, New York",HOTEL,146,4.0,73,4.1,"1 room, 3 adults",1,3
63,Manhattan,"Soho Garden Hotel, New York",HOTEL,1,2.5,556,3.9,"1 room, 3 adults",1,3
66,Manhattan,"1 Hotel Central Park, New York",HOTEL,28,5.0,61,4.6,"1 room, 3 adults",1,3
67,Manhattan,"SIXTY SoHo, New York",HOTEL,15,4.5,200,4.6,"1 room, 3 adults",1,3
68,Manhattan,"The Beekman, A Thompson Hotel, New York",HOTEL,32,5.0,455,4.7,"1 room, 3 adults",1,3
69,Manhattan,"InterContinental - New York Times Square, New York",HOTEL,201,5.0,118,4.2,"1 room, 3 adults",1,3
71,Manhattan,"Hilton Garden Inn New York/West 35th Street, New York",HOTEL,8,3.0,1406,4.4,"1 room, 3 adults",1,3
72,Manhattan,"11 Howard, New York",HOTEL,21,5.0,375,4.3,"1 room, 3 adults",1,3
75,Manhattan,"Holiday Inn Express New York - Manhattan West Side, New York",HOTEL,105,3.0,641,4.1,"1 room, 3 adults",1,3
76,Manhattan,"Walker Hotel Greenwich Village, New York",HOTEL,235,4.5,266,4.4,"1 room, 3 adults",1,3
77,Manhattan,"Seton Hotel, New York",HOTEL,100,3.0,777,4.1,"1 room, 3 adults",1,3
78,Manhattan,"Windsor Hotel, New York",HOTEL,136,2.0,28,2.7,"1 room, 3 adults",1,3
79,Manhattan,"Best Western Premier Herald Square, New York",HOTEL,110,3.0,1170,4.4,"1 room, 3 adults",1,3
81,Manhattan,"The Surrey, New York",HOTEL,581,5.0,256,4.5,"1 room, 3 adults",1,3
82,Manhattan,"The Watson Hotel, New York",HOTEL,4,3.5,405,3.9,"1 room, 3 adults",1,3
84,Manhattan,"The Benjamin, New York",HOTEL,1,4.5,421,4.4,"1 room, 3 adults",1,3
88,Manhattan,"Holiday Inn Express New York City Times Square, New York",HOTEL,110,3.0,778,3.9,"1 room, 3 adults",1,3
89,Manhattan,"Cassa Hotel NY 45th Street, New York",HOTEL,180,4.0,1270,4.4,"1 room, 3 adults",1,3
90,Manhattan,"New York Marriott East Side, New York",HOTEL,206,4.0,852,4.1,"1 room, 3 adults",1,3
92,Manhattan,"The Kimberly Hotel, New York",HOTEL,218,4.0,1516,4.7,"1 room, 3 adults",1,3
93,Manhattan,"The Lex NYC, New York",HOTEL,14,3.5,38,4.4,"1 room, 3 adults",1,3
95,Manhattan,"The Mark, New York",HOTEL,65,5.0,17,4.8,"1 room, 3 adults",1,3
96,Manhattan,"Hampton Inn Manhattan-Chelsea, New York",HOTEL,101,3.0,815,4.3,"1 room, 3 adults",1,3
97,Manhattan,"Edge Hotel, New York",HOTEL,20,3.5,24,4.4,"1 room, 3 adults",1,3
98,Manhattan,"Green Holidays Apartments, New York",HOTEL,4,3.5,37,3.1,"1 room, 3 adults",1,3
99,Manhattan,"Stewart Hotel, New York",HOTEL,116,4.0,235,3.8,"1 room, 3 adults",1,3
100,Manhattan,"Fifty Hotel & Suites by Affinia, New York",HOTEL,125,4.0,808,4.2,"1 room, 3 adults",1,3
101,Manhattan,"Candlewood Suites New York City-Times Square, New York",HOTEL,115,3.0,45,4.1,"1 room, 3 adults",1,3
102,Manhattan,"Shelburne Hotel & Suites by Affinia, New York",HOTEL,174,4.0,134,4.1,"1 room, 3 adults",1,3
103,Manhattan,"Hilton New York Fashion District, New York",HOTEL,107,4.0,826,4.3,"1 room, 3 adults",1,3
104,Manhattan,"Arlo SoHo, New York",HOTEL,144,4.0,116,4.4,"1 room, 3 adults",1,3
105,Manhattan,"Hampton Inn Madison Square Garden Area Hotel, New York",HOTEL,110,3.0,781,4.3,"1 room, 3 adults",1,3
106,Manhattan,"Duane Street Hotel Tribeca, New York",HOTEL,13,4.0,221,4.3,"1 room, 3 adults",1,3
107,Manhattan,"Fitzpatrick Manhattan Hotel, New York",HOTEL,178,4.0,53,4.5,"1 room, 3 adults",1,3
109,Manhattan,"Hotel Mulberry, New York",HOTEL,13,3.0,600,4.5,"1 room, 3 adults",1,3
111,Manhattan,"DoubleTree by Hilton New York Times Square West, New York",HOTEL,5,4.0,1715,4.0,"1 room, 3 adults",1,3
113,Manhattan,"WestHouse New York, New York",HOTEL,155,5.0,74,4.2,"1 room, 3 adults",1,3
114,Manhattan,"Hotel On Rivington, New York",HOTEL,266,4.0,330,4.2,"1 room, 3 adults",1,3
115,Manhattan,"Hilton Garden Inn New York/Midtown Park Ave, New York",HOTEL,100,3.5,66,4.4,"1 room, 3 adults",1,3
116,Manhattan,"Homewood Suites New York/Midtown Manhattan Times Square, New York",HOTEL,12,3.5,1446,4.5,"1 room, 3 adults",1,3
117,Manhattan,"The Langham, New York, Fifth Avenue, New York",HOTEL,401,5.0,548,4.7,"1 room, 3 adults",1,3
119,Manhattan,"Hampton Inn Manhattan Grand Central, New York",HOTEL,114,3.0,436,4.4,"1 room, 3 adults",1,3
120,Manhattan,"The Marcel at Gramercy, New York",HOTEL,12,4.0,73,4.1,"1 room, 3 adults",1,3
122,Manhattan,"The Ridge Hotel, New York",HOTEL,104,3.0,234,4.2,"1 room, 3 adults",1,3
123,Manhattan,"INNSIDE by MeliÃ  New York Nomad, New York",HOTEL,172,4.5,1472,4.4,"1 room, 3 adults",1,3
125,Manhattan,"Hotel St. James, New York",HOTEL,231,2.5,3644,3.8,"1 room, 3 adults",1,3
126,Manhattan,"Courtyard by Marriott New York Manhattan/Upper East Side, New York",HOTEL,11,3.5,1186,4.1,"1 room, 3 adults",1,3
127,Manhattan,"Hotel Edison, New York",HOTEL,87,3.5,4500,3.8,"1 room, 3 adults",1,3
128,Manhattan,"Courtyard by Marriott New York Manhattan / Central Park, New York",HOTEL,17,3.5,40,4.3,"1 room, 3 adults",1,3
130,Manhattan,"Hotel Mimosa, New York",HOTEL,153,2.5,21,4.1,"1 room, 3 adults",1,3
131,Manhattan,"YOTEL New York, New York",HOTEL,12,4.0,6367,4.2,"1 room, 3 adults",1,3
132,Manhattan,"The Townhouse Inn of Chelsea, New York",HOTEL,1,3.5,321,4.5,"1 room, 3 adults",1,3
134,Manhattan,"Hilton Garden Inn Times Square, New York",HOTEL,,3.5,133,4.3,"1 room, 3 adults",1,3
136,Manhattan,"Residence Inn New York Manhattan/Central Park, New York",HOTEL,21,3.5,558,4.4,"1 room, 3 adults",1,3
137,Manhattan,"Four Points by Sheraton Midtown-Times Square, New York",HOTEL,115,3.5,631,4.2,"1 room, 3 adults",1,3
138,Manhattan,"Sanctuary NYC Retreats, New York",HOTEL,134,3.0,87,4.6,"1 room, 3 adults",1,3
139,Manhattan,"Royalton Park Avenue, New York",HOTEL,150,5.0,618,4.3,"1 room, 3 adults",1,3
