,city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms,no_of_guests
1,Manhattan,"The Surrey, New York",HOTEL,581,5,256,4.5,"1 room, 3 adults",1,3
2,Manhattan,"Gramercy Park Hotel, New York",HOTEL,408,5,339,4.3,"1 room, 3 adults",1,3
3,Manhattan,"Hotel Pennsylvania, New York",HOTEL,99,2.5,6818,2.4,"1 room, 3 adults",1,3
4,Manhattan,"DoubleTree by Hilton New York City - Financial District, New York",HOTEL,152,4,1071,3.8,"1 room, 3 adults",1,3
5,Manhattan,"Residence Inn Marriott New York Downtown Manhattan/WTC Area, New York",HOTEL,148,3.5,623,4.5,"1 room, 3 adults",1,3
6,Manhattan,"The Sherry Netherland, New York",HOTEL,459,4.5,163,4.8,"1 room, 3 adults",1,3
7,Manhattan,"The Franklin Hotel, New York",HOTEL,207,3.5,544,3.4,"1 room, 3 adults",1,3
8,Manhattan,"Orchard Street Hotel, New York",HOTEL,125,3,277,3.9,"1 room, 3 adults",1,3
9,Manhattan,"Staybridge Suites Times Square, New York",HOTEL,125,3.5,1692,4.2,"1 room, 3 adults",1,3
10,Manhattan,"Fairfield Inn & Suites New York Manhattan/Downtown East, New York",HOTEL,119,2.5,237,4.3,"1 room, 3 adults",1,3
11,Manhattan,"City Club Hotel, New York",HOTEL,129,4,865,4.3,"1 room, 3 adults",1,3
12,Manhattan,"Best Western Plus Hospitality House, New York",HOTEL,150,2.5,212,4.4,"1 room, 3 adults",1,3
13,Manhattan,"Holiday Inn Express New York City- Wall Street, New York",HOTEL,96,3,423,4.1,"1 room, 3 adults",1,3
14,Manhattan,"W New York - Union Square, New York",HOTEL,314,4.5,234,4.3,"1 room, 3 adults",1,3
15,Manhattan,"Four Seasons Hotel New York Downtown, New York",HOTEL,555,5,171,4.8,"1 room, 3 adults",1,3
16,Manhattan,"Dylan Hotel NYC, New York",HOTEL,170,4,549,3.8,"1 room, 3 adults",1,3
17,Manhattan,"The William, New York",HOTEL,179,4,18,4.6,"1 room, 3 adults",1,3
18,Manhattan,"Refinery Hotel, New York",HOTEL,179,5,852,4.6,"1 room, 3 adults",1,3
19,Manhattan,"The Chatwal, a Luxury Collection Hotel, New York City, New York",HOTEL,525,5,127,4.6,"1 room, 3 adults",1,3
20,Manhattan,"Courtyard by Marriott New York Manhattan / Chelsea, New York",HOTEL,127,3.5,558,4.5,"1 room, 3 adults",1,3
21,Manhattan,"Pod 39, New York",HOTEL,119,3,3393,4.2,"1 room, 3 adults",1,3
22,Manhattan,"Incentra Village Hotel, New York",HOTEL,188,3,73,4.1,"1 room, 3 adults",1,3
23,Manhattan,"Hotel 48LEX New York, New York",HOTEL,187,4.5,480,4.2,"1 room, 3 adults",1,3
24,Manhattan,"The Peninsula New York, New York",HOTEL,745,5,568,4.7,"1 room, 3 adults",1,3
25,Manhattan,"GEM Hotel - Chelsea, New York",HOTEL,134,3,266,3.9,"1 room, 3 adults",1,3
26,Manhattan,"Holiday Inn Express Manhattan Times Square South, New York",HOTEL,126,3,609,4.2,"1 room, 3 adults",1,3
27,Manhattan,"Cambria Hotel New York - Times Square, New York",HOTEL,118,3,1023,4.5,"1 room, 3 adults",1,3
28,Manhattan,"Chambers Hotel, New York",HOTEL,251,4,280,4.4,"1 room, 3 adults",1,3
29,Manhattan,"NoMo SoHo, New York",HOTEL,148,4.5,885,4.2,"1 room, 3 adults",1,3
30,Manhattan,"The Pierre, A Taj Hotel, New York, New York",HOTEL,595,5,267,4.7,"1 room, 3 adults",1,3
31,Manhattan,"Hampton Inn New York - 35th Street - Empire State Building, New York",HOTEL,99,3,963,4.3,"1 room, 3 adults",1,3
32,Manhattan,"Hampton Inn Manhattan-Seaport-Financial District, New York",HOTEL,134,3,315,4.1,"1 room, 3 adults",1,3
33,Manhattan,"The Manhattan at Times Square Hotel, New York",HOTEL,94,4,4077,3.1,"1 room, 3 adults",1,3
34,Manhattan,"Renaissance New York Hotel 57, New York",HOTEL,146,4,739,4.1,"1 room, 3 adults",1,3
35,Manhattan,"Soho Garden Hotel, New York",HOTEL,199,2.5,556,3.9,"1 room, 3 adults",1,3
